Title	Cost	Students	Duration	Lectures	Levels	Ratings								
Credit Risk Modeling in Python 2020	₹420	"(2,199)"	7 total hours	75 lectures	All Levels	4.6								
Master Network Automation with Python for Network Engineers	₹420	"(1,280)"	19 total hours	222 lectures	All Levels	4.6								
Data Processing with Python	₹420	"(1,456)"	4 total hours	50 lectures	All Levels	4.5								
Python & Machine Learning for Financial Analysis	₹420	"(1,763)"	23 total hours	131 lectures	All Levels	4.6								
Python for Beginners: Complete Python Programming	₹420	(668)	3 total hours	21 lectures	Beginner	3.8								
Django 3 - Full Stack Websites with Python Web Development	₹420	"(1,915)"	8.5 total hours	78 lectures	Beginner	4.6								
Data Science: Supervised Machine Learning in Python	"₹1,920"	"(1,944)"	6 total hours	53 lectures	Beginner	4.5								
Algorithmic Trading & Quantitative Analysis Using Python	₹420	"(1,600)"	18.5 total hours	106 lectures	Intermediate	4.5								
The Complete Python Hacking Course: Beginner to Advanced!	₹420	"(1,104)"	17.5 total hours	89 lectures	All Levels	4.4								
Master Python Programming: The Complete Python Bootcamp 2020	₹420	(533)	26 total hours	353 lectures	All Levels	4.5								
"Complete SQL Bootcamp with MySQL, PHP & Python"	₹420	"(1,626)"	3 total hours	36 lectures	All Levels	4.1								
"Python Programming for Network Engineers: Cisco, Netmiko ++"	₹420	"(1,040)"	6 total hours	31 lectures	Beginner	4.4								
"Coding for Entrepreneurs: Learn Python, Django, and More."	₹420	"(1,027)"	45 total hours	251 lectures	All Levels	4.2								
The Complete Python 3 Masterclass - From Beginner To Pro	₹420	(592)	27.5 total hours	276 lectures	All Levels	4.6								
Python for Absolute Beginners: Learn Python in One Day	₹420	(700)	5 total hours	93 lectures	Beginner	4.4								
Complete Python Bootcamp : Go Beginner to Expert in Python 3	₹420	(994)	11 total hours	129 lectures	All Levels	4.0								
"Python for Network Engineers: Netmiko, NAPALM, pyntc, Telnet"	₹420	"(1,955)"	14 total hours	176 lectures	Beginner	4.7								
"Algorithmic Trading: Backtest, Optimize & Automate in Python"	₹420	"(1,086)"	10 total hours	56 lectures	All Levels	4.5								
Python Programming Bootcamp	₹420	(976)	38 total hours	162 lectures	All Levels	4.7								
The Data Science Course 2020: Complete Data Science Bootcamp	₹456	"(77,928)"	29 total hours	471 lectures	All Levels	4.5								
"Python REST APIs with Flask, Docker, MongoDB, and AWS DevOps"	₹420	"(1,178)"	10.5 total hours	45 lectures	Beginner	4.3								
"Ensemble Machine Learning in Python: Random Forest, AdaBoost"	"₹1,920"	"(1,408)"	5.5 total hours	43 lectures	All Levels	4.6								
Python 3 Programming: Beginner to Pro Masterclass	₹420	(710)	22.5 total hours	141 lectures	Beginner	4.4								
